RowID,COL_1,COL_2,COL_3,COL_4,COL_5,SOLD
GNkFUE6w,,VAL_B,5,10,5,0
kh1pyErS,,,,17,-9,0
u2X2DyC2,260,VAL_B,7,6,15,0
MdhNMKQf,,,,8,8,0
u9nLb581,,,,7,0,0
5Ba5sOuA,,,,15,-8,0
7Fle0J7G,,,,8,21,0
IB7d36GH,,,,,7,0
ppRD2CXi,-1,VAL_H,2,3,4,0
PBGjAFzn,,,,7,16,0
SuFwugwM,,,,,13,0
T87MHj94,,,,8,21,0
ui69eNn2,125,VAL_M,1,8,34,0
TXmI1Js9,155,VAL_D,1,3,21,0
5F3HfJ7Q,,,,55,14,0
22ziSXPt,,,,,-5,0
KB0k6mQ5,240,VAL_B,7,7,5,0
VMdNB0TV,-3,VAL_B,6,7,5,0
cLqa6yaj,310,VAL_B,1,9,7,0
5kAszms3,,,,18,12,0
afmVOd8S,250,,5,7,-1,0
GizcMrMe,,,,,-2,0
GulESIoj,,,,,4,0
kWgA9dGI,,,,10,13,0
wDfSXz0j,-3,VAL_B,5,,7,0
5WuUcRyV,,,,,-6,0
EivQHjS7,190,VAL_B,6,3,7,0
o8poxFEd,,,,9,12,0
cUKhGwP8,,,,18,-6,0
IUQVolsU,425,VAL_A,4,,5,0
k2Y69dmW,,VAL_B,,4,-8,0
4aWdIUaJ,,,,17,1,0
uJeHUh3O,,,,,3,0
1gnkgS1n,-2,VAL_B,7,18,5,0
SRFxCqMs,120,VAL_B,7,,-2,0
oiro5zgu,,VAL_B,,8,8,0
9YsrFpln,220,VAL_B,6,8,-4,0
gNIljwzj,250,VAL_B,7,8,7,0
uh4IjCW2,275,VAL_B,7,32,-4,0
gwxjlGkW,240,VAL_F,2,14,4,0
edxdSrhr,175,VAL_B,1,9,7,0
N6sWELN9,170,VAL_A,1,,15,0
p2r6yUv7,,,,9,-2,0
sZ58RetK,,,,16,-1,0
9DEYu6Pe,355,VAL_B,7,4,-4,0
k0Eh3UUT,,,,3,8,0
3h13zcFY,180,VAL_B,2,10,19,0
tYcHREkD,265,VAL_I,6,7,12,0
WJCss5Wo,280,VAL_B,1,,-7,0
ptXNhoFJ,165,VAL_A,3,7,42,0
Wrc1P3Zt,,,,9,11,0
EoiGAU1u,240,VAL_B,5,6,27,0
mu5tXQ1F,,VAL_B,,4,-2,0
JdsIlXkK,,,,,12,0
Aof0BvG1,105,VAL_B,1,10,26,0
UuGjIcpH,180,VAL_B,2,7,28,0
2jQPVpoS,,,,14,-10,0
VnR24QIX,280,VAL_B,4,11,2,0
93ihbkYB,,,,13,0,0
DkJzvaLi,,,,7,6,0
MJDdJIyd,230,VAL_M,6,10,4,0
kr5dajFH,,,,,22,0
UVifLTR0,,,,9,-12,0
4zDBPIAt,,,,,11,0
9JngEcaa,145,VAL_B,1,8,30,0
GeiGZACR,,,,16,16,0
zBvYGsMM,888,VAL_K,8,2,-11,0
vlZZTThi,-3,VAL_A,5,9,-1,0
gVQmbVTj,,,,8,3,0
y89Khyu9,,,,7,4,0
GbLyKkIv,-3,VAL_B,6,8,-7,0
RWca4cS3,235,VAL_B,5,7,4,0
GjsvkiL1,140,VAL_A,1,9,8,0
oUF1xD1H,,,,15,2,0
rRA7xVGr,,,,9,9,0
ijr6YuNx,,,,,8,0
35mPrEZ9,215,VAL_I,4,8,-3,0
EfSch8OO,,,,9,6,0
9SjdwsSM,,,,9,14,0
9anQIhMV,,VAL_B,,7,-10,0
UZnP9UFh,255,VAL_B,5,3,13,0
FO3gWUhH,,,,9,-11,0
tSQWwOGQ,,,,9,2,0
FWZh2cw7,245,VAL_B,5,3,-10,0
Ko2eZqRm,230,VAL_B,5,2,15,0
Ykjf1KTl,120,VAL_B,3,4,23,0
WqovBghp,-3,VAL_B,5,,-1,0
CaqWprbv,,,,7,-10,0
BrjT1ACn,-1,VAL_B,1,4,3,0
N4rZPpS7,,,,15,9,0
cmGGNQns,275,VAL_B,3,,-4,0
c243N4Al,,,,9,19,0
zHbpZ04F,,,,8,13,0
VjqQD0M4,270,VAL_D,7,5,9,0
YcKbp7Nx,,,,6,16,0
606M9g12,,,,14,20,0
7XtfPGPq,210,VAL_B,3,3,-10,0
fDWXQgvp,,,,8,10,0
GI5F5kLG,250,VAL_A,5,7,1,0
89vKWlgp,230,VAL_B,2,,-9,0
tifATuie,250,VAL_B,2,,11,0
A9cOAH7J,,,,13,9,0
o7loeVjl,200,VAL_B,5,2,3,0
4bDtThIO,315,VAL_D,7,9,6,0
GMERvkOj,235,VAL_B,5,4,-7,0
CTOT7wwV,235,VAL_B,5,13,13,0
LVU453JG,245,VAL_B,3,8,10,0
A0yXRLfe,-1,VAL_B,1,16,10,0
ZCpQGoBw,,,,,15,0
zWfwkWgN,265,VAL_B,5,8,22,0
JLQ2UMfb,,,,16,6,0
HAWLDzk7,,,,18,2,0
R5OKsjLB,,,,9,5,0
z77L6yRg,125,VAL_B,5,27,19,0
xqynoKCh,,,,8,2,0
BElKQ6lW,200,VAL_B,6,7,24,0
U9AIaJF2,,,,7,1,0
DYumnm17,265,VAL_B,5,2,-6,0
HwLQL0Th,,,,2,0,0
unHn0cnz,165,VAL_B,7,4,24,0
3cFnesHe,400,VAL_B,1,5,-9,0
vMSZ9fbr,,,,,17,0
TT3JvBCy,,,,9,20,0
gHtg5ReO,,VAL_B,,9,1,0
4BnNxy4X,,,,9,-12,0
NEOGhYzh,220,VAL_B,3,9,13,0
QReGEcxQ,210,VAL_B,2,6,0,0
ZNE6dEcv,,,,,14,0
TsqU0mBA,215,VAL_B,1,6,22,0
gYxxMIBS,220,VAL_B,5,,6,0
HoSKkUDV,-3,VAL_B,1,5,21,0
DrgmayXR,-1,,2,9,4,0
EoKjNoHn,-2,VAL_B,6,4,-12,0
fefnWUzP,-2,VAL_B,2,6,12,0
o4DhTcZY,,,,,9,0
mWvfupOm,,,,,3,0
g2EnSjbp,,,,9,4,0
8DAOfMWi,,,,7,4,0
hI5MZQvf,,,,9,13,0
qil7ICUD,295,VAL_B,7,,6,0
ptkY6TP4,310,VAL_B,7,8,6,0
VbPWsuJI,215,VAL_B,5,10,-3,0
gVbav5Qu,,,,,17,0
yPlpwBtG,,,,18,19,0
LMmZNv3Z,,,,18,-10,0
SLYgSTTN,250,VAL_B,7,3,-9,0
U1wXkZHn,-3,VAL_B,4,4,-3,0
CSNZZwmz,-3,VAL_A,6,,-6,0
SEf2Lctt,,VAL_B,,3,17,0
ikAQOBdz,,,,,-5,0
AkzkU6EA,220,VAL_B,7,3,1,0
IJkOSa5d,,VAL_B,,6,-2,0
4r9RfL46,,VAL_B,,9,-4,0
HSzEETzA,160,VAL_A,3,7,33,0
dH0KoAKn,,,,9,6,0
i4hkJJ8s,,VAL_B,,,11,0
WLF6cOQP,295,VAL_M,2,7,-5,0
9DJwluN6,-1,VAL_B,1,5,7,0
nMnoMZq9,,,,35,-11,0
5jAMlvzZ,,VAL_B,,7,14,0
2PgFhb24,280,VAL_B,5,4,15,0
HHB1EebJ,330,VAL_B,5,12,-10,0
siZeqPNm,,VAL_B,,10,16,0
SjAmeguW,,,,9,-11,0
homfmdmT,355,VAL_B,6,2,-7,0
afdcXEFV,,,,7,6,0
pEX2G1KX,255,VAL_B,6,,6,0
xMBT5cAz,,,,,-5,0
IHDelljQ,,,,8,19,0
XWuwAovS,275,VAL_B,7,4,-12,0
UwdS3ycl,,,,15,1,0
SniaFK8g,150,VAL_B,1,7,22,0
HvUkImBR,,,,9,6,0
tCeAI61x,,,,15,-8,0
PZkZFUde,,VAL_B,,17,15,0
Oc1NQHKz,,,,16,-8,0
PZisvnuq,,,,9,10,0
dOSbCgLr,,VAL_B,,8,8,0
4kTmUtos,140,VAL_B,5,14,20,0
PhmRLPHw,210,VAL_B,5,24,-10,0
Tg5DGz2k,,,,14,20,0
O4qbPWx4,220,VAL_B,7,5,8,0
YazkhCyL,-3,VAL_B,7,4,5,0
sC5GllK8,275,VAL_B,6,,-5,0
uy3vFSI3,,,,8,-8,0
ADxkXoQO,,,,8,8,0
U7s6NmJW,,,,7,10,0
mut8Iopa,,,,18,-3,0
wpFQuMdU,120,VAL_B,2,4,23,0
hqoZsfkc,245,VAL_B,2,2,-5,0
p8YJzxP4,,,,3,9,0
1yy9XCwI,175,VAL_D,7,9,17,0
fHEWDpkP,,,,,4,0
9sG9rjLh,,,,8,-12,0
VLwka5Nq,210,VAL_B,5,5,-3,0
BLeHLIFv,,,,,20,0
wc2LAiHc,250,VAL_H,3,5,-1,0
EBCGmdvE,250,VAL_A,5,7,-2,0
vJpnOo6T,,,,4,3,0
40EfUQPG,,,,3,15,0
pm5GpsRG,350,VAL_B,6,9,3,0
pcOdLrek,175,VAL_B,3,9,17,0
KAtxrfRp,,VAL_B,,7,14,0
HlH5bpEN,,,,,-10,0
dNVR3NnP,210,VAL_I,4,6,22,0
5u8Vu4zG,-2,VAL_B,1,8,20,0
mFJGVvxh,,,,18,6,0
TDUHQcKp,295,VAL_B,2,20,-3,0
Y5tzhgwr,125,VAL_B,2,5,22,0
FewwUx9d,200,VAL_B,1,14,-5,0
far5Gm9p,175,VAL_D,7,4,1,0
YSr1uQ8x,,,,4,5,0
eVq3sC0k,210,VAL_B,4,,-13,0
KhMutysS,,,,18,8,0
cPUEfuwX,,,,,-4,0
qoKIfl4A,,,,8,1,0
yJkdBXfh,,,,9,-8,0
ZkdZJXVO,,,,15,-10,0
0sT7E1dH,,,,3,14,0
TjVTdA6h,,,,9,-4,0
Q5F1xZ5z,-3,VAL_B,6,7,1,0
W8pkAdMZ,,,,,12,0
CuuQwBvC,305,VAL_B,6,3,5,0
HQOrDE4L,200,VAL_B,3,2,-3,0
cxrQHt4R,,,,7,20,0
1tyvJegP,,,,,7,0
AvLxI1gk,,,,8,-4,0
5dhBZmZX,295,VAL_B,5,7,-6,0
ivEqOdir,,,,8,-12,0
f3ddVA0n,200,VAL_B,4,24,13,0
mMkMnwd8,,,,,0,0
FyBVcaVD,-3,VAL_B,4,10,1,1
4WhxJkmv,,,,7,18,0
FTbWW9lL,,,,9,-4,0
f8nlozgF,,,,8,-1,0
1crJ5b6z,,,,7,21,0
zG9r9Oih,,VAL_B,,,10,0
txrXsZDG,,,,,25,0
gsox5EHq,,,,23,3,0
7tvLalpM,290,VAL_B,1,8,7,0
3hPvSxYJ,,,,7,16,0
vQdhoAiv,,,,2,18,0
0UaRuUOb,,,,31,3,0
114q6rbm,,,,,-9,0
2oVDrYk2,,,,7,9,0
fZDGCNgt,155,VAL_B,1,6,15,0
R7wk9Blp,305,VAL_B,6,2,19,0
GsOIYcod,,,,8,-7,0
ZRtyJOSQ,,,,9,12,0
IZnirPim,125,VAL_B,1,4,24,0
fmv9U1MM,230,VAL_B,7,10,-4,0
hirVjEBH,360,VAL_B,6,10,1,0
vf16IHTT,,,,13,-9,0
vXx0Hv0T,,,,8,20,0
I1C1jHCE,,,,43,-7,0
mOOPqwyf,260,VAL_B,3,8,-11,0
6YUDMiB3,,,,10,-3,0
Uk2nZ8Oj,,,,,19,0
hMOM6Vs2,,,,,3,0
e5VyPIVU,,,,14,3,0
S8d8Q9ik,,,,7,20,0
5uPfUYNQ,,,,8,5,0
u1cNAekI,-3,VAL_B,5,,7,0
o9KZJBXb,,,,8,16,0
yffDG7cZ,,,,9,-7,0
tqpBQkwq,-1,VAL_B,3,17,-13,0
JYBxHkcL,,,,,-7,0
qbOFZ4TY,285,,5,5,17,0
zReyUcVe,,,,,-14,0
K1UyZHbE,,,,15,11,0
9tvH7JKv,140,,1,9,16,0
Tmc9LvSw,,,,8,-1,0
CM9xpvu7,240,VAL_B,6,6,-14,0
QlgsqHSA,,,,17,-4,0
YViNuZ6E,,,,8,-6,0
KnFfKEpP,,,,3,6,0
8Tim4Zap,,VAL_B,,10,0,0
gMpgPhve,,VAL_B,,4,23,0
ih2Qz6Zv,,,,31,-9,0
eOUdIPyK,320,VAL_B,5,8,10,0
8xgON4R8,-2,VAL_B,2,7,25,0
8aQqJDyO,215,VAL_B,3,14,11,0
fCEmm1od,300,VAL_B,7,7,10,0
IlU7VwMF,,,,18,8,0
pfS7PAUy,,,,18,8,0
8DvUiYdB,,,,6,21,0
30LgTnTu,-3,VAL_B,7,5,-12,0
8MqKApH8,230,,5,4,4,0
z40RABDw,-3,VAL_B,3,,-4,0
azTSSTKi,,VAL_B,,14,30,0
lyMrVcqW,180,VAL_M,4,3,21,0
gRQmvtok,185,VAL_B,1,,7,0
DFZcY9XT,,,,11,5,0
dLIBmHhS,-3,VAL_B,7,,-9,0
SeIqtnVB,,,,8,-9,0
gRCBacQp,,,,7,12,0
w7SewnXf,120,VAL_B,2,6,21,0
H1t1lkLc,210,VAL_B,2,9,18,0
FZIROXip,,,,13,-12,0
7BOy5i5k,-3,VAL_B,1,9,11,0
RCcwRWSy,370,VAL_B,2,8,-1,0
R4hDemLf,310,VAL_B,1,43,-5,0
evVTvx25,,,,,-3,0
IppLmyY7,215,VAL_B,1,15,14,0
ewQ3ySn7,,,,9,9,0
agZHt7JO,135,VAL_D,2,5,27,0
ZechdLoz,280,VAL_B,4,2,3,1
nENF94OQ,,,,9,-9,0
G3tw6yGe,,,,17,-7,0
rOcgxvdF,220,VAL_B,5,8,-10,0
wlC0uYRY,,,,9,21,0
Y28a9Kxy,300,VAL_B,5,7,11,0
minWPpob,255,VAL_B,3,3,11,0
flwZSS0E,205,VAL_B,1,4,2,0
eM926kYl,280,VAL_B,7,3,1,0
RoJRAjOS,,,,,-2,0
lwNgOk73,,,,50,10,0
IE0tZBPM,235,VAL_A,5,6,1,0
fuBFEStu,220,VAL_B,5,,-11,0
c7vXyqS6,230,VAL_B,4,9,-6,0
js8N5HZ4,,,,35,18,0
h6QavtyX,,,,8,1,0
DcNAKKoY,,,,8,19,0
lyPhDkxI,-3,VAL_B,6,15,10,0
5NqJzt1j,-1,VAL_B,1,9,32,0
cDtl1f0A,190,VAL_B,5,8,18,0
fzicixjt,,,,9,5,0
UJBO4pwh,205,VAL_B,7,8,2,0
j7EKpgwW,170,VAL_B,5,9,13,0
qskuVcRE,,,,8,-6,0
YCck7IbO,,,,9,12,0
cXe70KEl,-3,VAL_B,7,9,11,0
pWqytR6A,,,,,14,0
Z0Rjw9BF,295,VAL_B,7,8,-6,0
sEKyvwoY,,,,8,-14,0
l3zGHUPy,,,,11,3,0
QCSbzMdj,175,VAL_B,1,,24,0
9EDLQZ06,155,VAL_A,5,13,25,0
nFJnfmTe,290,VAL_B,7,,-2,0
Z9YTys4C,300,VAL_B,4,3,14,0
HIeAedUV,,,,8,0,0
CbXvpjU1,255,VAL_B,6,7,21,0
FiTqDvrs,270,VAL_D,4,3,15,0
UD6FYfjX,,,,18,-6,0
X5caUYtl,,,,7,-9,0
5NSm0i4F,-3,VAL_B,7,10,10,0
7AVY45Cp,-3,VAL_B,1,18,7,0
EqDQkhWu,,,,,10,0
dtDhQ8Ni,205,VAL_B,6,7,-1,0
lWQejTlt,280,VAL_B,4,23,-1,0
TsrPYka2,,,,,-8,0
0BtGCqQ4,,,,45,22,0
tJGywYUA,,,,7,-1,0
zN4oPiyq,,,,,3,0
t4slB891,-3,VAL_B,7,8,7,0
Lgm9if44,215,VAL_B,1,3,0,0
OH9vrVyN,,,,8,18,0
gH499Rwg,,,,23,-2,0
Kq54R4D3,235,VAL_B,7,9,14,0
3DuPVbSk,200,VAL_D,6,5,14,0
x5DCP11T,,VAL_B,2,3,-7,0
